3P,3PA,AST,BLK,FG,FGA,FT,FTA,ORB,PF,PTS,STL,TOV,TRB,is_Home,Team_Win,opponent,opp_TRB,opp_3P,opp_3PA,opp_AST,opp_BLK,opp_FG,opp_FGA,opp_FT,opp_FTA,opp_PTS,opp_ORB,opp_STL,opp_PF,opp_TOV,Team,Game_Id
9.0,21.0,34.0,6.0,45.0,86.0,19.0,21.0,13.0,14.0,118.0,8.0,12.0,47.0,1,1,Indiana,33.0,7.0,18.0,34.0,7.0,43.0,88.0,8.0,9.0,101.0,8.0,8.0,16.0,13.0,Chicago,10/29/2016_Chicago_Indiana
15.0,31.0,25.0,6.0,39.0,81.0,11.0,17.0,4.0,26.0,104.0,4.0,13.0,42.0,0,1,Charlotte,38.0,9.0,32.0,22.0,6.0,32.0,79.0,25.0,33.0,98.0,6.0,8.0,17.0,8.0,Boston,10/29/2016_Charlotte_Boston
9.0,32.0,22.0,6.0,32.0,79.0,25.0,33.0,6.0,17.0,98.0,8.0,8.0,38.0,1,0,Boston,42.0,15.0,31.0,25.0,6.0,39.0,81.0,11.0,17.0,104.0,4.0,4.0,26.0,13.0,Charlotte,10/29/2016_Charlotte_Boston
8.0,28.0,21.0,5.0,38.0,84.0,15.0,26.0,13.0,23.0,99.0,6.0,20.0,50.0,0,0,Cleveland,40.0,11.0,37.0,17.0,6.0,36.0,88.0,22.0,30.0,105.0,13.0,8.0,27.0,9.0,Orlando,10/29/2016_Cleveland_Orlando
11.0,37.0,17.0,6.0,36.0,88.0,22.0,30.0,13.0,27.0,105.0,8.0,9.0,40.0,1,1,Orlando,50.0,8.0,28.0,21.0,5.0,38.0,84.0,15.0,26.0,99.0,13.0,6.0,23.0,20.0,Cleveland,10/29/2016_Cleveland_Orlando
10.0,32.0,23.0,8.0,45.0,98.0,15.0,21.0,5.0,30.0,115.0,10.0,15.0,45.0,0,1,Denver,61.0,6.0,23.0,19.0,5.0,38.0,100.0,31.0,39.0,113.0,16.0,10.0,21.0,17.0,Portland,10/29/2016_Denver_Portland
6.0,23.0,19.0,5.0,38.0,100.0,31.0,39.0,16.0,21.0,113.0,10.0,17.0,61.0,1,0,Portland,45.0,10.0,32.0,23.0,8.0,45.0,98.0,15.0,21.0,115.0,5.0,10.0,30.0,15.0,Denver,10/29/2016_Denver_Portland
11.0,34.0,23.0,6.0,37.0,84.0,23.0,28.0,11.0,22.0,108.0,12.0,18.0,45.0,0,0,Milwaukee,44.0,8.0,22.0,25.0,5.0,41.0,88.0,20.0,24.0,110.0,8.0,14.0,23.0,14.0,Brooklyn,10/29/2016_Milwaukee_Brooklyn
8.0,22.0,25.0,5.0,41.0,88.0,20.0,24.0,8.0,23.0,110.0,14.0,14.0,44.0,1,1,Brooklyn,45.0,11.0,34.0,23.0,6.0,37.0,84.0,23.0,28.0,108.0,11.0,12.0,22.0,18.0,Milwaukee,10/29/2016_Milwaukee_Brooklyn
9.0,25.0,19.0,2.0,37.0,86.0,21.0,26.0,11.0,30.0,104.0,3.0,12.0,40.0,0,0,New York,41.0,6.0,21.0,24.0,4.0,40.0,76.0,25.0,39.0,111.0,6.0,4.0,25.0,12.0,Memphis,10/29/2016_New York_Memphis
6.0,21.0,24.0,4.0,40.0,76.0,25.0,39.0,6.0,25.0,111.0,4.0,12.0,41.0,1,1,Memphis,40.0,9.0,25.0,19.0,2.0,37.0,86.0,21.0,26.0,104.0,11.0,3.0,30.0,12.0,New York,10/29/2016_New York_Memphis
5.0,20.0,31.0,7.0,42.0,85.0,15.0,23.0,6.0,14.0,104.0,11.0,12.0,47.0,0,1,Philadelphia,39.0,5.0,18.0,16.0,5.0,28.0,80.0,11.0,15.0,72.0,4.0,9.0,20.0,20.0,Atlanta,10/29/2016_Philadelphia_Atlanta
5.0,18.0,16.0,5.0,28.0,80.0,11.0,15.0,4.0,20.0,72.0,9.0,20.0,39.0,1,0,Atlanta,47.0,5.0,20.0,31.0,7.0,42.0,85.0,15.0,23.0,104.0,6.0,11.0,14.0,12.0,Philadelphia,10/29/2016_Philadelphia_Atlanta
7.0,22.0,19.0,5.0,37.0,70.0,22.0,31.0,7.0,25.0,103.0,6.0,11.0,36.0,0,0,Sacramento,31.0,9.0,26.0,24.0,5.0,39.0,85.0,19.0,25.0,106.0,11.0,6.0,24.0,13.0,Minnesota,10/29/2016_Sacramento_Minnesota
9.0,26.0,24.0,5.0,39.0,85.0,19.0,25.0,11.0,24.0,106.0,6.0,13.0,31.0,1,1,Minnesota,36.0,7.0,22.0,19.0,5.0,37.0,70.0,22.0,31.0,103.0,7.0,6.0,25.0,11.0,Sacramento,10/29/2016_Sacramento_Minnesota
